555	0.918	Ámbar	2	2000	4519.png	Campbell
556	1.012	Aluminio	4	1981	4446.png	Gordon
557	1.155	Pasta	3	2018	4735.png	Watts
558	1.382	Coral	2	2020	5063.png	Marshall
559	1.178	Concha	3	2016	4734.png	Gordon
560	0.319	PVC	3	1987	5173.png	Griffiths
561	0.958	Vidrio	1	mal	4897.png	Butler
562	0.616	Madera y vidrio	1	1991	5135.png	Wright
563	1.464	Vidrio	3	1981	4475.png	Gill
564	0.264	Ámbar	1	1989	5041.png	Rose
565	1.298	Níquel	1	1997	4910.png	Campbell
566	1.464	Aluminio	1	2009	4593.png	Webb
567	0.764	Concha	3	1982	4663.png	Davies
568	0.287	Pasta	2	2022	5433.png	Bennett
569	0.324	Plástico	1	2005	5323.png	Stone
